"","Title","Date","User","Body","Rating","Show"
"21","Short and sweet, but lacks",2019-04-08,"Norwich115","Good morning all!

I don’t usually leave reviews, but I’m making some changes in how I do things, so I thought I might share why I rated this podcast a 3 star.",3,"Politics"
"22","Good standby to keep up on what’s going on...",2019-04-09,"lizpey","This bi-weekly podcast covers up-to-date information in the US politics realm. Coverage is a bit superficial if you're a policy nerd, but more than sufficient for anyone wanting learn a little bit more than solely scanning the headlines. The commentary and analysis is unbiased, in my opinion, but one is welcome to take it as they want. It does a good job of keeping things light hearted with the Can't Let Go segment every Thursday. I enjoy listening, have for a few years, and will continue to into the future.",4,"Politics"
"23","Can’t Let It Go",2019-04-10,"IBeckySue","I learn a lot by listening to this podcast. One thing I look forward to every week is “Can’t Let It Go”. I often follow up with those items as they are pertinent and interesting! Thanks y’all!",5,"Politics"
"24","Political news brief",2019-04-10,"geneocide","Just what you need to know, with relatively little in the way of puditry and mistakes.",5,"Politics"
"25","Love it!",2019-04-10,"DeanMatt","A smart and engaging podcast that doesn’t take itself too seriously. The conversation is quick and insightful and, best of all, it is fun to listen to. The hosts and guests know their stuff. I am always excited to see a new episode pop up in my feed.",5,"Politics"
"26","Women's voices, younger voices",2019-04-11,"Carolsummit","It is good to hear intelligent analysts who are younger than 40. Makes NPR less male and less stodgy.More Iaisha Tyler and quit interrupting her.",5,"Politics"
"27","One of my go-to podcasts",2019-04-12,"LelaNoell","Informative and entertaining. Thanks for helping me keep up!",5,"Politics"
"28","Listen Liberal",2019-04-16,"MedStudent11431","Domenico Montanaro, NPR's lead political editor and host of this podcast has an obvious affinity for the Neoliberal wing of the Democratic Party which is in full view on this podcast. The NPR Politics podcast gives the listener a window on the personal biases that seep into NPR’s political coverage (I suspect via Montanaro).",1,"Politics"
"29","It’s fine",2019-04-17,"Ben47031","It’s okay as a brief American politics roundup. But it’s too biased. It’s called the npr politics podcast, but it’s very evident that all of the hosts are more left leaning. That’s okay, but then just call the pod something more appropriate like the npr politics podcast, left leaning edition (rolls off the tongue). Or feature more input from people who have differing opinions. But it feels disingenuous to call it a general politics pod but then come at every story from one perspective.",3,"Politics"
"30","Pulling the plug!",2019-04-20,"long time listener.","Been listening to this show since day one but finally had to pull the plug on it. Just another group of left leaning reporters miss informed and giving bias opinions and half truths.",1,"Politics"
"31","Unbiased Political Coverage with Lovable Hosts",2019-02-05,"Alicia Magee","Where does NPR get all these wonderful people? The hosts of this show are a delight to listen to, and they bring the coverage and analysis you have come to expect from NPR. You can expect a new podcast any time there's new political news, and every Thursday you can enjoy the Weekly Roundup which includes the always entertaining Can't Let It Go.",5,"Politics"
"32","Love it!",2019-02-06,"Momma Trim","I can’t wait for each episode to come out! I only wish it were every day. Thanks NPR politics team!",5,"Politics"
"33","BIASED BIASED BIASED!!!",2019-02-06,"Joe Sturza","This is the most biased group of ""journalists"" I have ever listened too. It is blatantly obvious that they have nothing good at all to say about President Trump and his administration. I personally am a Trump fan, but there are both things I like and don't like about him; just as there are things I like and don't like about his opposition. I am not by any means a journalist and don't get upset easily, but this is absolutely ridiculous. I subscribed to this podcast to obtain unbiased political news and updates, but all I am getting is the much UNWANTED OPINIONS of a group of salty Trump opposers. To say that Trump even hinted (in his State of the Union speech on 2/5/2019) towards having the opinion that immigration is bad for or hurting this country is such a flat out lie. These people obviously can't distinguish the difference between the terms “ILLEGAL immigration” and “LEGAL immigration”. He specifically stated (not in so many words, but) that he is very supportive of LEGAL immigration, and that he is very much so (obviously) against ILLEGAL immigration. Not once did touch on his opinion towards immigration, because Trump (like the rest of us that don't have our heads up our you know whats, or like those that can actually put there salty feeling towards Trump aside [you know the sore-loser feelings because they lost the election] and recognize/do what is right for the country) can actually distinguish the difference between ILLEGAL and LEGAL immigration. That is just one example, but this group of “journalists” is exactly what is wrong with journalism, and why Americans like myself are losing faith in journalism.",1,"Politics"
"34","It’s politics! For kids!!!",2019-02-11,"Espnfsbysdth","I really do want to like this show. I have been a listener since mid 2016, but they are doing a disservice to their listeners. There is an active refusal by the hosts to ever state a fact portraying republicans in a negative light without also saying something negative about democrats. It is the ignorance of a group of people who are clearly unaffected by politics and see it more as a hobby to be laughed about than something serious. Sometimes there truly is a right and a wrong but you won’t learn about it here.",1,"Politics"
"35","Great coverage",2019-02-12,"Radishcake","Love it guys! You are great at giving me a good précis of the days at hand. I only wish the shows were a bit longer!",5,"Politics"
"36","I'd be incomplete without you guys.",2019-02-18,"Maaz Hussaini","I started to listen to this show at the tail end of the 2016 presidential election. I really enjoy your coverage of the week's news in U.S. politics. It's informative and entertaining. Keep up the good work.",5,"Politics"
"37","2020 Update",2019-02-19,"Mav / black P","Excellent dialogue. Keeping it fun, well done.",5,"Politics"
"38","Just like 2016, another cycle of Bernie Bashing",2019-02-20,"ET424","Another election cycle, another chance for NPR as a whole and this podcast to slam Bernie as much as possible. They breeze right over criticism of other major Dem candidates. Not surprised they’d go this route yet again...",1,"Politics"
"39","How about some journalism?",2019-02-21,"MI RAISED","Try for once to leave your liberal bias at home when you come to work.",2,"Politics"
"40","Totally biased!",2019-02-27,"Jackie Wigner","I happen to fully agree with your posting Justin. I have been a long time listener and there seems to be a drastic change in the way that NPR has been for the past few years, reporting the news. I would like their personal motivation to stay out of the news and just report the facts.",1,"Politics"
"41","A weekly must",2019-03-04,"2Kville","The world is exhausting, but the NPR politics team helps me keep up with everything. Thanks for all the great work!",5,"Politics"
"42","Informative and impartial",2019-03-05,"sn0flaker","A great podcast that is always unbiased with exceptional work from a few journalists like Aisha rascoe, Mara liasson, Scott Detrow and more!",5,"Politics"
"43","Love these people!",2019-03-05,"Belle03gal","What a great podcast to help you understand all of the things going on in our country. The cast does a great job engaging the listeners, providing great content, and it’s also fun.",5,"Politics"
"44","Boring juvenile blather",2019-03-10,"dinosaur brain","Some folks must like it?",2,"Politics"
"45","Biased towards the Gates Foundation Interests",2019-03-11,"Nina8625","The Gates Foundation’s highly strategic moves in philanthropy can be seen in NPR’s coverage of the upcoming primary coverage. The last live episode, in Atlanta, gave Bernie Sanders little to no coverages of all democratic presidential contenders. NPR lost my support and subscription. As one of the most popular candidates you think, they would give him more coverage than Andrew Yang.",1,"Politics"
"46","Critical thinking?",2019-03-15,"Optimist runner","Insightful commentry on political news. Would be more insightful if it a bit less of a liberal lean. And the informal style gets tiresome sometimes: stick to the topics.",3,"Politics"
"47","Ageist views",2019-03-20,"Shelmel","I’ve been listening to NPR Politics podcast for years. I’ve been surprised by the journalists open biases before, but this week broke my formerly positive opinion of them into pieces. When speaking about the clear Dem front runner so far, Bernie Sanders, they have literally chuckled, scoffed and belittled their way through every coverage of him. It is maddening. I’m no blind follower if Bernie, I just want to hear his views like everyone else’s. They literally asked him WHY he needs to run at all, when his policies have already made it onto the Democratic agenda. Well, why on earth shouldn’t he run, if he was so successful at getting good ideas out there? If Bernie’s an idiot, why would Warren, Harris, Booker and a plethora of other candidates adopt his views? (And where in the world is the coverage of Andrew Yang?) NPR is really showing their pro-war, pro-corporation bias here. Stop telling us who COULD or COULDN’T win. You screwed that up last election. Just let us decide by hearing the candidates voices, with the SAME fairly posed questions for each candidate. Sheesh.",2,"Politics"
"48","Men over women",2019-03-21,"bagkey","Sometimes the male reporters talk over the females, finishing their sentences, not letting them finish...interrupting to add in. It’s annoying and they shouldn’t do it. Very disrespectful. just saying... but I love the podcast",5,"Politics"
"49","Surprisingly thin",2019-03-23,"Danahearn","Sophomoric too!",2,"Politics"
"50","I only have one concern...",2019-03-25,"parkour dole","Well I have a few. Complete liberal bias from all of their “journalists”. I wish more of it would look at both sides of the coin rather than one heavy ended side. When you start reporting facts and not bias opinions I will subscribe. Until then it’s a no go.",2,"Politics"
"51","Personality-driven, very informal ""news-lite""",2018-12-31,"Mauimike6","This is a very informal personality-driven ""news chat"" podcast wherein four or five NPR correspondents meet several times a week to offer up their personal takes on a few high-visibility news items and political issues that dominate the current news cycle. No in-depth analyses here, just quick, off-the-cuff observations about inside-the-Beltway ""hot topics."" Although the format bears some resemblance to a formal round-robin-style discussion overseen by a moderator, the reality has more of a ""newsies gathering at the office cooler"" feel to it: lots of ""me-first"" interruptions, inside joking, and everybody talking at once. On the rare occasion when a more senior correspondent joins the group, or if that day's news cycle includes a lot of ""serious"" topics, actual in-depth analysis and serious discussion may occur. This podcast's ""unscripted content"" is not on the level of PBS's Shields and Brooks podcast. It appeals more to regular NPR listeners who enjoy hearing what their favorite correspondents are like without a script... or adult supervision.",2,"Politics"
"52","Great place to get clued in",2019-01-03,"Sra84","I love this show, the format, the hosts and the information it provides. It’s not the deepest dive, and sometimes i wish there were more context given, but there are other podcasts for that. For an enjoyable recap of whatever’s happening, this is my first stop.",5,"Politics"
