Title,Date,User,Body,Rating
Podcast Format Compromise,07/31/2013,PeterKagey,"I'm the apparently rare listener who likes the program parsed by segment. Perhaps two streams could be released, one with the whole episode and another with the program parsed up.",5
I dislike the bundling of different topics,08/10/2013,Vicsal,"Again, I'm having a very difficult time finding a podcast replacement for TOTN. I very much enjoyed the way TOTN segmented its wonderful shows. The practice worked well with its up-to-30 minutes-per-topic format. I downloaded only the topics that were of interest to me and didn't have to listen to stuff that didn't interest me.",2
Boring news mag,09/10/2013,Mattyd325,"I've tried to give it a chance when TOTN went off the air, but it is just too boring. Where are the long (30 min) discussions? Where are the interesting opinions from people across the country? This feels like All this considered and Morning Edition.",1
Anti marijuana diatribe,04/21/2014,jbeckr,They turned their podcast into a modern version of reefer madness. I did not realize that pot meant the end of civilization. Un subscribed.,2
I love this podcast!,05/15/2015,guitarmanzw,"I have been listening NPR for a while, and Here and Now is one of my favorite podcast, I heard B.B.King’s story, I like this singer and Here and Now!",5
Improved,07/31/2015,Curtis310,Much better with the hour long format.,5
New format is disappointing,06/14/2016,یو,I love Here & Now. But recently they changed the description format and it is not user friendly. I was able to read to read a brief description of all the stories and pick my favorite but now I just don't listen. Please bring back the description and story highlights.,2
Good podcast but...,06/14/2016,anthony12275,They take long to update their content. Sometimes you will get today's news tomorrow. Horrible.,2
Keep the hour segment length.,07/04/2016,mutemike,"A big fan of the show, but recently individual stories of about 5min have been pushed out. Ugh, I don't want that in a news podcast.",3
Great,08/07/2016,RadioAddct,Interesting and well-produced stories,5
News in Detail,11/30/2016,Mission Accomplished,Nicely delivered information and never boring.,5
"Good effort, but….",07/04/2013,jefemarks,….doesn’t meet the higher standard of the just-cancelled Talk of The Nation,3
Listener,07/06/2013,NOLA RUNS,No new podcasts since 06/29. I miss Neil & TOTN,1
There & Then…..,07/10/2013,One of the best!,"Very disappointed that one of my favorite news magazines and podcasts has been usurped by NPR, and their inane podcast format. I really wish they would abandon this notion of releasing each story as a separate podcast, and instead release the SHOW, as a whole, as a single podcast. As it is now, it's cumbersome and annoying to manage as a listener, and you don't the music, segues, and connective material that makes the show enjoyable.",1
I agree,07/11/2013,Cory707,"Love ""Here & Now"" and I'm looking forward to the addition of Jeremy Hobson.
But I agree with many of the other posts here -- I don't listen to the show over the radio but am an avid podcast subscriber. We don't want the show broken up into 5 minute pieces. Post the whole show!",3
