Title,Date,User,Body,Rating
Best Talk Show,07/11/2018,Melbrooksjr,"I listen to the show all the time. Great conversation with interesting characters. One thing that is always impressive is the degree of preparation Terry does-she always reads the book and clearly has dog eared all the pages. But She is totally a Freudian. C'mon, Terry, fess up!",5
Once Militantly Anti abortion,07/12/2018,Ardmore3,I usually love all you podcasts and am a regular listener as a Canadian expat living in Singapore. This podcast really upset me and I could not listen to this man’s account of how he and Prolife members terrorised these poor young women. It was like he was looking for forgiveness from us all and this cathartic outpouring was impossible for me to listen to. I will be back but I think this was too graphic and he got too much airtime. Very upsetting.,5
little sister,07/14/2018,liberal wanttobe,Turning into the little sister to MSNBC,1
Fresh air,07/17/2018,bucky172,"Keep up the good work!!
Thoroughly enjoyed on a daily basis, keep it coming, it’s vastly appreciated!!",5
Useful information,07/18/2018,Mellman48,There are some really good stories here but most of these podcasts are plugs for a book the guest is promoting. Having said that the listener only gets one side of the story. That fact makes most of these podcasts very biased. I prefer the non author episodes.,5
The Preeminent podcast,07/19/2018,Marmac Louis,"This is it! There are some wonderful podcasts out there, but Terry is the queen of interviews. Dave Davies is quite good too. If you want to stay informed, listen to this!",5
The Preeminent podcast,07/19/2018,Marmac Louis,"This is it! There are some wonderful podcasts out there, but Terry is the queen of interviews. Dave Davies is quite good too. If you want to stay informed, listen to this!",5
Solid addition to your station,07/21/2018,DawnsFishies,"Interview subjects aren’t always super fascinating, and the book reviews do nothing for me (sorry). But those are my only knocks. Everything else is top notch.",4
Terry Rocks,07/23/2018,lscphd,What is there not to love about Terry's ability to interview; her depth and breadth of knowledge and equal amounts of compassion are inspirational.,5
Wonderful Podcast,05/24/2018,Podcast Fan 957,So glad to be able to have a Podcast of the show since I can rarely hear the show live. One of the best interview programs available anywhere.,5
Top of the NPR Pile!,05/25/2018,MoVal Likes Papa John,Intelligent and insightful interviews from Philly! She asks the questions I wanted to ask! Listening since the eighties !,5
"Informative, fun and presented in a calm manner",05/26/2018,Carol from Pittsburgh,"Informative, fun and presented in a calm manner. So many podcasts are very loud. Fresh Air (and Stay tuned with Preet) se both presented in a conversational thoughtful tone.",3
"Wonderful, but",05/27/2018,Deedi10,"I love Teri’s interviews and have followed the show and podcast for years, but delete and avoid interviews by Dave Davies. I hope he does not replace her at some point. The others like David Bianculi (sp) are great also. Please no to Davies.",4
Perspective,05/27/2018,jossu_h,One of the best podcasts for keeping abreast with things that matter in the news.,5
Fresh Air Is the Best,06/06/2018,Caroline G W,Terry Gross is one of the best interviewers of all time. I love this radio show/podcast so much and have been listening for years! She always knows the right questions to ask and can make people seem more human and relatable. The Maurice Sendak interview from years ago still comes to mind as the most beautiful interview I’ve ever listened to. Thanks Terry!!,5
Fresh Air is Unique,06/08/2018,Junolemley,"Terry Gross is absolutely the best interviewer. She is gracious with her guests yet incisive. I didn’t care for Dave Davies in the beginning, but find him now as another aspect of Fresh Air. Maureen Carrigan is delightful in her book reviews",5
Love Fresh Air,06/19/2018,Vidya J,":)))) that is my big smile for Fresh Air on Podcast and love listening anytime. Teri Gross is gracious and funny, and I like how all different kinds of topics are covered. I have been listening for 5 years.",5
Well done,06/20/2018,Gale Sayers,Done well,5
Timeless,06/21/2018,Valsalva Manuever,Terrie is a master at taking us where we had no idea we wanted to go.,5
Always Top Notch,06/21/2018,RoccobyBaby,"Love Terry Gross, et al. Fantastic quality interviews",5
Terry Gross,06/21/2018,"C.,;:ghyvb",Terry Gross is hands down the best interviewer!,5
No sound in latest episode,06/22/2018,Mollcarm,The Trump Family episode does not have any sound after the opening ad,3
John Prine,06/22/2018,jimmy456!,"Very disappointing interview with one of America’s greatest
living songwriters. It was clear Terry Gross did little research to",1
Inside America’s First Family,06/23/2018,JoeycDolce,Except for the first 45 seconds there was no sound. Using iPhone 8. Otherwise Fresh Air is my favorite NPR show.,1
Please correct sound issue,06/24/2018,tcc nyc 333,No sound on Trump Family episode,1
No sound after first few minutes on trump family episode,06/24/2018,11235578,No sound,3
No sound!,06/24/2018,AlexIsAPodPerson,"For the episode “Inside America’s First Family” from June 21, 2018, the sound drops out very early on.",1
Defective! No sound!,06/25/2018,SusieQMcF,Really wanted to hear! Waited a few days and tried again,1
No sound,06/25/2018,dignan100,None,1
4.5 are you kidding me?,04/21/2018,gmjkareyoukiddingme,drinking game-drink every time someone says “great question “,5
Terry is the master,04/23/2018,Nicknamesalltaken12345,"Quirky range of interviewees from Comey to rodeo cowboys over the course of a week. What Terry brings of herself and through her interviewing style makes virtually every story fascinating, fun and engaging. Terry is a national treasure.",5
Too many white guys,04/28/2018,PinkyL'Amour,Keep hoping for an episode NOT centered around a middle-aged white guy. C’mon Terry! More women please.,1
"Terry Gross is a FIVE, but political content a TWO!!",04/28/2018,seh16,"Love Terry Gross, who is an engaging and skilled interviewer. (I secretly delight in it each time she lets out a snort while laughing.) However, the underlying political aspects of the show wear thin quickly. I tolerated episodes in recent years with pro-Obama slants—“tolerated” not because I had issue with Obama but because I found Fresh Air’s adoration too cloying. But the frequency and ranting tone of anti-Trump stories is just too much. I don’t like Trump myself, but where I’d hoped to find refuge from the onslaught of biased media coverage and divisiveness in social media posts, in usually delightful and/or thought-provoking interviews, I find more of it. So I find myself skipping over more episodes than ever before, relieved to find the straightforward celebrity or author interviews that continue to satisfy.",3
Think of what I would have missed!,04/29/2018,4433lala,Terry Gross can make any interviewee interesting and any topic fascinating and approachable. There are many authors and celebrities I would have passed up if it were not for her insightful questions and honest response.,5
Trump hate,04/30/2018,tomnottom,Extremists camouflaged as liberal propaganda,1
Almost always great,05/01/2018,gcdem1,Gross is the best interviewer on radio or podcasts.,4
Terrible interviewing,05/01/2018,cheyish,Terry seems to only enjoy interviewing people who align with her interests. I can literally hear her bias and judgment to those she interviews that she cant connect with. Just listen to the Tracy Morgan interview. It’s horrific.,1
A compilation of our history,05/06/2018,yukatadog,"Been listening for years. Terry Gross is THE interviewer, hands down. Over decades she has compiled an archive of interviews that will be valued for generations. To be interviewed by Terry Gross, and her thoughtful team, means that you have really left a mark on the world or you are an expert in something that shapes our world. A treasure!",5
Great topics,05/08/2018,Jpillonrealtor,I find many of the topics of this podcast to be very interesting and thought-provoking.,5
Love it!,05/08/2018,Maggie Corbett,It’s a great program,5
A classic,05/10/2018,WA Woodworker,Fresh Air is one of those shows. Teri Gross has talked to so many interesting people and always makes it worth the listen.,5
Terry,05/13/2018,Kevonski,Your voice soothes my soul!,5
Marvelous podcast,05/16/2018,Pro Actor Man,"“Fresh Air” makes my shortlist of podcasts I listen to on a regular basis. The interviews continue to be among the best in the field of journalism. Terry Gross really is the gold standard for interview journalism, and her team executes high-quality radio programming on a consistent basis. Bravo!",5
No Better Way to Spend a Commute,05/17/2018,Waceted,"Terry Gross and her guests are time and again engrossing, enthralling, informative, and hysterical. I couldn't love this show any more than I do. Thank you.",5
Great NPR Program,05/19/2018,Sonicsonicbobonic,"I love being able to hear the long-form interviews and in-depth conversations on Fresh Air. I’m always at work when it’s airing on my local station, WKSU, so finding out that I can listen to it in a podcast made me very happy. Even topics I think won’t interest me draw me in for the hour-long podcast.",5
Fresh air,05/20/2018,nfahr,Terri gross is great!,5
Gross needs to apologize,05/21/2018,instormandstrife,"I used to like the program, but the inappropriate and disgusting rape apologist behavior during Tig Notaro’s interview. Very unprofessional to put an accomplished artist in such an uncomfortable position and disrespect their feelings. Gross should apologize.",1
updating issues?,05/23/2018,patternshirt,"Seems to be a (hopefully temporary) issue with updating and downloading just now.
Otherwise, a consistently great podcast.",5
The best,05/23/2018,-panqueque-,This show is so consistently amazing!,5
